centil,renta
17,9997.873431999318
18,10000.16175943976
19,10002.454466728834
20,10378.068899297868
21,10996.73398724297
22,10998.808400593844
23,11000.970465706558
24,11003.07963829283
25,11568.644912002716
26,11997.268771479416
27,11999.412406767644
28,12001.532453178765
29,12003.6605814386
30,12868.054535488822
31,12998.126525247524
32,13000.410843677382
33,13002.746899067142
34,13527.558052185315
35,13997.581394257071
36,14000.120552408038
37,14002.709835430049
38,14630.882329898226
39,14998.062828613454
40,15000.8341044621
41,15003.601904570549
42,15973.124104850098
43,15999.392201300154
44,16002.403539506313
45,16615.48400910175
46,16998.33478945795
47,17001.29042319319
48,17257.97702716449
49,17997.363941674837
50,18000.537112934944
51,18072.6355459671
52,18997.027710166167
53,19000.48039425515
54,19177.748632707477
55,19997.4340400006
56,20001.119723683594
57,20440.553684950493
58,20998.757605687733
59,21002.743337875567
60,21926.728164628843
61,22000.78382880077
62,22483.39101582865
63,22999.326037246024
64,23187.847383198023
65,23998.10718240735
66,24002.64469792355
67,24986.00913990831
68,25002.088641147744
69,25896.381129315934
70,26098.06541197232
71,26998.44638276505
72,27360.98003513371
73,28000.13161052188
74,28725.811389527436
75,29279.24455459569
76,30000.7617636078
77,30926.734304026035
78,31636.351754968066
79,32423.797756897937
80,33316.4673862361
81,34294.651260791616
82,35336.934684862754
83,36391.04638713939
84,37542.147960228576
85,38724.16729271192
86,39960.56096867585
87,40989.784932316594
88,43567.94715976692
89,44999.87913479651
90,46290.4612264692
91,49090.77130293511
92,51136.22728046413
93,54860.90955246956
94,59219.566239060354
95,60001.3283069266
96,63148.63166551352
97,71572.59506313951
98,80191.94285219304
99,94568.78349391356
100,185014.42271142363
1,751.6905967277372
2,2639.663596983881
3,3882.725585613588
4,4731.341980252589
5,5342.575946499555
6,5999.864902239188
7,6595.770303766472
8,6999.718745965561
9,7211.476268864156
10,7997.278248413552
11,8000.500796502743
12,8171.894761624782
13,8996.722507768005
14,8999.302754478593
15,9001.94459651881
16,9312.270910672123
17,9996.783696612432
18,9998.890322886098
19,10001.07946394337
20,10003.278718385563
21,10714.076888974056
22,10997.479906956483
23,10999.480761311925
24,11001.488420914293
25,11003.52520782988
26,11749.68825903107
27,11997.57096100719
28,11999.612529715629
29,12001.66333141073
30,12003.71753227974
31,12894.543485395554
32,12998.132669418475
33,13000.380968355325
34,13002.652535637071
35,13437.758860284755
36,13997.389017447753
37,13999.865392985952
38,14002.317945336692
39,14425.068918402834
40,14997.593836024966
41,15000.262728759304
42,15003.010315009156
43,15772.051904024494
44,15998.795849246071
