centil,renta
13,3999.198909088655
14,4002.716232311581
15,4843.505848896668
16,4999.139691617347
17,5002.2430856548735
18,5602.620257786505
19,5998.5563805944685
20,6001.80410821026
21,6491.98153444649
22,6998.117553514222
23,7001.237461836706
24,7290.967253639667
25,7997.136599510532
26,7999.936971937118
27,8002.720011247518
28,8675.32989148675
29,8998.18127556266
30,9000.859894023513
31,9003.539477320288
32,9954.498150230544
33,9998.815354153334
34,10001.43686896588
35,10118.556165229214
36,10996.54676774794
37,10998.975058780394
38,11001.473000904349
39,11088.731191585352
40,11996.399391901548
41,11998.769410471756
42,12001.13161014691
43,12003.475826376189
44,12842.588960849384
45,12998.193441496009
46,13000.551970297256
47,13002.886421533394
48,13603.002712907804
49,13997.681908247065
50,14000.073236476312
51,14002.382162831058
52,14361.801930195636
53,14997.039213245604
54,14999.347930955191
55,15001.7064396846
56,15125.18115820911
57,15996.435398250684
58,15998.76281799969
59,16001.043418159976
60,16003.358306643586
61,16783.47663912164
62,16998.09797473082
63,17000.411308486244
64,17002.73750203337
65,17556.246585635537
66,17997.769201738247
67,18000.41099462931
68,18002.98740843223
69,18714.051317566333
70,18998.68650626129
71,19001.650710842005
72,19389.715782604017
73,19998.018939689853
74,20001.50293157171
75,20481.038166119542
76,20998.820643767827
77,21002.76682686088
78,21926.04580999261
79,22001.47472325615
80,22740.153078198862
81,23001.472030771387
82,23830.838266269868
83,24002.20366963142
84,24970.53171219395
85,25294.735005509327
86,26000.12439563084
87,26753.136707600137
88,27368.52843723369
89,28001.093974662803
90,28951.365486465485
91,29705.698212622363
92,30493.61859501017
93,31521.420422969008
94,32671.60724726205
95,34271.28055297901
96,36094.00175834034
97,38557.6627913308
98,41625.73671670633
99,48955.81964427544
100,78188.95232188163
1,0.7601098315949715
2,2.2423499898628934
3,3.6874999206254246
4,621.0425186401172
5,998.2034505114622
6,1000.9668944346188
7,1059.7681482388475
8,1996.768523660228
9,1999.931685922182
10,2003.1241642110176
11,2911.785353897554
12,2999.6982896529994
13,3002.925588255506
14,3872.145042030266
15,3999.381912326956
16,4002.569222279069
17,4731.6596994153015
18,4998.395216988475
19,5001.19350243136
20,5089.629363654619
21,5996.645665769615
22,5999.470248737994
23,6002.360182351592
24,6597.445280866982
25,6998.095151892604
26,7000.849509968756
27,7003.554081126443
28,7966.416999506676
29,7998.829797477348
30,8001.409139377817
31,8088.593703570047
32,8996.493434823074
33,8999.017220338332
34,9001.561257344938
35,9164.522602933344
36,9996.64254883569
37,9999.109699905715
38,10001.558587930736
39,10103.7380510412
40,10996.42816566628
41,10998.809669524191
42,11001.211150529836
43,11003.602676719458
44,11901.380026196191
45,11998.143296677044
46,12000.423529779004
47,12002.693764088172
48,12497.276083382963
49,12997.279222326606
50,12999.512781494002
51,13001.827471499157
52,13100.321858197243
53,13996.407684309226
54,13998.79165175453
55,14001.160573422329
56,14003.47229134656
57,14816.68443823219
58,14997.998046050328
59,15000.268453669034
60,15002.570488207955
61,15468.924406680097
62,15997.210270591324
63,15999.522546497748
64,16001.834253825387
65,16162.848243925073
66,16996.55172029672
67,16998.98089802283
68,17001.42184176269
69,17008.010469613328
70,17996.34694922382
71,17999.062227834514
72,18001.748536324936
73,18278.211343496096
74,18997.513562819902
75,19000.76781065877
76,19199.04150085077
77,19997.64208006449
78,20001.36146263756
79,20544.48811427216
80,20999.50924800224
81,21256.81233380308
82,21998.80271755987
83,22235.66804024772
84,22999.32823019143
85,23505.276619539814
86,24001.118741554816
87,24852.682515023997
88,25458.334253381003
89,26092.104578816336
90,26999.65030398116
91,27841.775652023
92,28580.68744493382
93,29499.72646392816
94,30537.677252955964
95,31887.842222869684
96,33604.91558138625
97,35714.989522840995
98,38299.61174921745
99,42038.02218776898
100,68828.51478239585
1,0.6298171220030528
2,1.8858910248128404
3,3.1457551322620123
4,26.324411961743404
5,996.2364094492942
6,998.5858557554416
7,1000.8745523796656
8,1003.1732184741116
9,1712.8408764859685
10,1998.3078934943808
11,2000.926027848781
12,2003.5604971959528
13,2941.6039537252677
14,2998.989233188743
15,3001.740575173926
16,3269.9707087604284
17,3997.030147726541
18,3999.750400339634
19,4002.4994114159895
20,4578.374146697875
21,4997.637879862073
22,5000.142391685132
23,5002.601243990877
24,5549.069619751353
25,5997.769816305114
26,6000.41043741003
27,6003.009363616499
28,6722.818647101678
29,6998.081499426971
30,7000.650597914354
31,7003.216882598891
32,7798.835417938773
33,7998.074848412719
34,8000.434948294502
35,8002.793176641954
36,8575.216227634195
37,8997.533726240074
38,8999.968571003144
39,9002.275880389629
40,9341.93438963754
41,9996.94061461768
42,9999.276153892764
43,10001.588078778754
44,10031.361894971333
45,10996.206139552734
46,10998.496019087204
47,11000.801799821342
48,11003.08214835443
49,11673.107801518969
50,11997.578035132989
51,11999.78346888379
52,12002.05899058078
53,12207.94540361787
54,12996.616254565502
55,12998.919083648316
56,13001.172651553985
57,13003.504543337149
58,13842.41657897086
59,13998.212323633714
60,14000.529275320929
61,14002.857366102497
62,14587.947896759397
63,14997.596806922442
64,14999.952688477952
65,15002.370524430327
66,15397.86630575296
67,15997.18277977682
68,15999.591151892131
69,16002.06437656558
70,16295.781305107585
71,16996.945275555787
72,16999.47528370302
73,17001.965884593727
74,17313.952772051314
75,17997.394986147672
76,18000.38996376034
77,18003.38734214199
78,18954.307562340822
79,19000.336540397555
80,19228.786210398062
81,19998.14299721213
82,20002.444597406444
83,20887.39331904003
84,21001.82775907352
85,21816.07310256565
86,22060.986880620505
87,22998.622883387998
88,23547.4999645804
89,24110.231038765167
90,24999.847706711837
91,25873.3134626586
92,26687.2753097647
93,27630.332108179464
94,28615.15065967276
95,29773.27767472213
96,31360.91597334336
97,33090.75594111396
98,35382.2241679742
99,38659.57204603445
100,61878.38730825723
1,0.5216924860512485
2,1.5811569796141198
3,2.677499164269999
4,3.738410933143353
5,246.1426533149373
6,996.3978729712562
7,998.254750201736
8,1000.1104894943156
9,1001.9670497380392
10,1003.8371122156096
11,1872.2475909896912
12,1997.9344532574653
13,2000.0862393258424
14,2002.192855370688
15,2180.341058806116
16,2996.568563150029
17,2998.778875875172
18,3001.0195744723464
19,3003.2175493739496
20,3719.99522879178
21,3997.7869085062966
22,4000.117257421065
23,4002.449121854034
24,4402.433961782972
25,4996.997707835118
26,4999.179390944739
27,5001.364741051943
28,5003.5941597011015
29,5868.574249847343
30,5998.26113965818
31,6000.657465095405
32,6003.016118502446
33,6626.586633782298
34,6997.598944087116
35,6999.915934374444
36,7002.25655140547
37,7371.021842504266
38,7996.939741525828
39,7999.19272645231
40,8001.408947264778
41,8003.639671894794
42,8899.391249228285
43,8998.152613318749
44,9000.305164006528
45,9002.496588577056
46,9367.889640839529
47,9997.003705995
48,9999.254732770163
49,10001.499482866937
50,10003.72634094736
51,10908.392695241791
52,10998.13033602307
53,11000.33131939722
54,11002.589601533637
55,11392.065135585795
56,11996.950392394472
57,11999.2096592194
58,12001.475307055813
59,12003.756482514991
60,12936.496698893929
61,12998.32973556825
62,13000.638861958629
63,13002.997149030094
64,13661.552966367522
65,13997.840118744962
66,14000.250922800857
67,14002.69306291337
68,14544.541537729028
69,14997.679995801614
70,15000.261968696028
71,15002.767532222628
72,15608.400167240115
73,15997.83393684558
74,16000.4285352833
75,16003.05347583858
76,16774.48603745577
77,16998.62175954472
78,17001.412967642806
79,17230.29568815256
80,17997.542619711025
81,18001.03494916239
82,18381.67421525017
83,18998.66953185647
84,19002.898577575208
85,19996.0964059388
86,20002.490565734948
87,20978.67623929609
88,21229.59071162769
89,21999.888763144223
90,22735.091542631413
91,23450.63462201069
92,24280.41747169604
93,25232.208478238244
94,26293.50518544852
95,27480.9056106057
96,28659.95834027461
97,30282.87336589863
98,32086.67522682677
99,35237.485637752296
100,55629.0447095564
1,0.9857278656343836
2,2.94437448757104
3,462.7727797163474
4,999.7692516611286
5,1454.289502099593
6,2000.25158980946
7,2643.885443872353
8,3001.335656933042
9,3817.351723594291
10,4001.6849327610753
11,4857.460707426477
12,5000.7784609600685
13,5511.17080248899
14,5999.560386239193
15,6347.802591050448
16,6998.765430648296
17,7142.283054997557
18,7997.643600296905
19,8001.730090077805
20,8661.373239940709
21,8999.59875324355
22,9140.519890425638
23,9997.503309529784
24,10001.513439730594
25,10618.654951222838
26,10999.30291779058
27,11003.047255312653
28,11977.391003629527
29,11999.979972742494
30,12004.611535214175
31,12996.64535634273
32,12999.902070120728
33,13003.098011754006
34,13911.357560065517
35,13999.52825413531
36,14002.75272481206
37,14796.23964036957
38,14999.088244637
39,15002.39218244277
40,15697.268503118628
41,15998.785168175504
42,16001.86991032469
43,16519.698558626544
44,16998.225988918595
45,17001.25602686051
46,17260.84855693384
47,17997.441919718334
48,18000.56675460748
49,18102.93709145991
50,18997.184512069813
51,19000.6986944084
52,19235.87731656332
53,19997.654871015053
54,20001.45784492544
55,20519.89718213271
56,20999.00975837808
57,21002.979057856377
58,21990.86360485727
59,22001.71196240657
60,22764.814424146494
61,23001.133103410903
62,23691.99288141637
63,24000.87561406515
64,24666.282700232936
65,25001.457825865728
66,25855.575265432308
67,26023.352829634303
68,26997.989349830244
69,27294.8365714358
70,27999.27039019723
71,28442.765249366905
72,29000.26325025869
73,29648.69349530399
74,30001.58408703814
75,30877.84629378541
76,31194.44472790062
77,31999.363926638267
78,32621.66436210774
79,33233.13700578233
80,34000.939181567584
81,34993.689345914085
82,35837.850027547254
83,36803.82843980525
84,37803.29571120632
85,38929.38308956084
86,39998.61412730997
87,40649.06633322861
88,43288.64730912125
89,44998.55037268257
90,45588.57184117522
91,48477.48862409067
92,50588.360631382944
93,54122.482996437946
94,58481.85872375119
95,59999.37258205465
96,60877.79549382664
97,67088.77511194072
98,77121.33284766106
99,88049.7115538323
100,155992.8683453371
1,0.9313560361350486
2,2.731810760011627
3,264.2671328306585
4,998.2895812363116
5,1002.678389849962
6,1971.6091885012836
7,2002.1465657816648
8,2927.164148232631
9,3002.0893050739
10,3904.72331156977
11,4001.633791895689
12,4764.539126115155
13,5000.12755331124
14,5251.74750521679
15,5998.198105973449
16,6002.399236796773
17,6867.083188572878
18,7000.586332992874
19,7421.785921664679
20,7998.386432704004
21,8002.073880359019
22,8692.420967615777
23,8999.400882601445
24,9003.060784736183
25,9976.268276174244
26,10000.243808843888
27,10157.920209938033
28,10997.296866559464
29,11000.695881925529
30,11213.054001407729
31,11997.150517433303
32,12000.123388820177
33,12003.09279119316
34,12857.627231063308
35,12998.951761198992
36,13001.799924685056
37,13413.311315274372
38,13997.646552891429
39,14000.51846642446
40,14003.402156247686
41,14940.576488979726
