sexo,tipo_renta,centil_padres,promedio,centil_hijo,centil_hijo_loess,n
total,individual,59,media,51.11602441359502,51.08853442085905,16712
total,individual,60,mediana,52.0,52.078161564510815,16706
total,individual,60,media,51.1934634263139,51.218400234532325,16706
total,individual,61,mediana,53.0,52.290909194900806,16715
total,individual,61,media,51.64810050852528,51.34828156250327,16715
total,individual,62,mediana,53.0,52.50256736576789,16687
total,individual,62,media,51.78462276023252,51.47940279682754,16687
total,individual,63,mediana,53.0,52.71266551855655,16683
total,individual,63,media,51.5490019780615,51.612988329560864,16683
total,individual,64,mediana,52.0,52.91396196214316,16688
total,individual,64,media,51.59090364333653,51.74448741179456,16688
total,individual,65,mediana,53.0,53.10364158659613,16651
total,individual,65,media,51.86138970632395,51.870875594298575,16651
total,individual,66,mediana,53.0,53.28787370514812,16679
total,individual,66,media,51.67809820732658,51.99566671864656,16679
total,individual,67,mediana,53.0,53.47282763103178,16705
total,individual,67,media,52.01143370248429,52.12237462641218,16705
total,individual,68,mediana,54.0,53.66467267747976,16671
total,individual,68,media,52.40147561633975,52.25451315916907,16671
total,individual,69,mediana,54.0,53.86957815772469,16708
total,individual,69,media,52.44296145559014,52.39559615849087,16708
total,individual,70,mediana,54.0,54.08315341965297,16704
total,individual,70,media,52.45959051724138,52.544678409659895,16704
total,individual,71,mediana,55.0,54.29886694512636,16730
total,individual,71,media,52.79085475194262,52.69854219054061,16730
total,individual,72,mediana,54.0,54.51967674834057,16704
total,individual,72,media,52.8430316091954,52.85729258158001,16704
total,individual,73,mediana,55.0,54.74854084349137,16710
total,individual,73,media,53.05278276481149,53.021034663225024,16710
total,individual,74,mediana,55.0,54.98841724477449,16720
total,individual,74,media,53.3441985645933,53.18987351592263,16720
total,individual,75,mediana,55.0,55.24226396638564,16714
total,individual,75,media,53.29370587531411,53.36391422011975,16714
total,individual,76,mediana,56.0,55.48552211502367,16700
total,individual,76,media,53.61730538922156,53.5350321612872,16700
total,individual,77,mediana,56.0,55.71227259812681,16692
total,individual,77,media,53.83303378864127,53.70207558600585,16692
total,individual,78,mediana,55.0,55.953433130999855,16709
total,individual,78,media,53.25644862050392,53.87560886638775,16709
total,individual,79,mediana,57.0,56.2399214289476,16704
total,individual,79,media,54.54220545977012,54.06619637454496,16704
total,individual,80,mediana,56.0,56.53817480632068,16722
total,individual,80,media,54.30032292787944,54.25885625550786,16722
total,individual,81,mediana,57.0,56.83370344646177,16714
total,individual,81,media,54.48917075505564,54.4495717497459,16714
total,individual,82,mediana,57.0,57.18603436816369,16713
total,individual,82,media,54.52683539759469,54.66535487252974,16713
total,individual,83,mediana,58.0,57.5566372521912,16715
total,individual,83,media,54.92635357463356,54.879624106654674,16715
total,individual,84,mediana,58.0,57.896050653871846,16719
total,individual,84,media,55.10814043902148,55.06653967483273,16719
total,individual,85,mediana,58.0,58.247404903842735,16711
total,individual,85,media,55.26964275028424,55.25422620220971,16711
total,individual,86,mediana,59.0,58.65383033274097,16719
total,individual,86,media,55.90585561337401,55.470808313931386,16719
total,individual,87,mediana,60.0,59.15845727120365,16720
total,individual,87,media,56.00364832535885,55.74441063514357,16720
total,individual,88,mediana,60.0,59.804416049867854,16735
total,individual,88,media,56.30403346280251,56.10315779099204,16735
total,individual,89,mediana,60.0,60.561217680997046,16726
total,individual,89,media,56.28105942843477,56.52702414058314,16726
total,individual,90,mediana,61.0,61.38256132435699,16727
total,individual,90,media,56.67639146290429,56.98572901650472,16727
total,individual,91,mediana,63.0,62.28785953183829,16733
total,individual,91,media,57.93181139066515,57.49201450412491,16733
total,individual,92,mediana,63.0,63.29652485533157,16705
total,individual,92,media,57.93391200239449,58.058622688811866,16705
total,individual,93,mediana,64.0,64.42796984672741,16721
total,individual,93,media,58.281263082351536,58.69829565593368,16721
total,individual,94,mediana,65.0,65.70160705791642,16710
total,individual,94,media,58.588928785158586,59.42377549085848,16710
total,individual,95,mediana,64.0,67.11122279396399,16702
total,individual,95,media,58.62040474194707,60.2310265304315,16702
total,individual,96,mediana,67.0,68.63726087013274,16708
total,individual,96,media,60.020828345702654,61.1072570211002,16708
total,individual,97,mediana,69.0,70.27912010360913,16718
total,individual,97,media,61.27299916257925,62.05207491263603,16718
total,individual,98,mediana,71.0,72.03619931157968,16729
total,individual,98,media,62.37210831490226,63.06508815481049,16729
total,individual,99,mediana,74.0,73.90789731123087,16740
total,individual,99,media,64.15256869772999,64.14590469739504,16740
total,individual,100,mediana,80.0,75.89361291974916,16726
total,individual,100,media,67.98242257563075,65.29413249016115,16726
