quintil_padres,0-20,20-40,40-60,60-80,80-100
0-20,24.89292051413914,22.57243560883774,21.803721599111295,18.117153041166368,12.613769236745457
20-40,22.25497674871743,21.397462879392823,21.967235317755875,19.75007068258822,14.630254371545652
40-60,20.40150054083865,19.664688660061824,21.09835004437204,20.838768817150196,17.996691937577292
60-80,19.433835038057026,17.545398105137764,19.532694423002898,21.099615031011837,22.38845740279048
80-100,18.142081610488827,14.243048356606563,15.71751155810869,19.781274203114396,32.11608427168152
